relative_path,reference_language,translation_block_count,string_dialogue_count,source_fingerprint_sha256
code/data/quests/quests_it.rpy,spanish,2,66,81a7e20c0c8810e7a0e3e4b6fdfb0337644162811acc85aebb02594d2853c538
code/data/quests/quests_movies.rpy,italian,2,47,cfae25293f24fe50314aef446855f6ea85114076323f3ac711585f3a41dcb24b
code/data/quests/quests_neutral.rpy,deutsch,3,115,ad06bcb34076cf612f6a9322bc70c42108b4cce62d7f779fe682fdb4e4ecefec
code/data/quests/quests_theater.rpy,italian,4,59,3d65f81ecabcae969498fb8b54d5fb92f15bcbd413a0275209c547e960fca8ca
code/data/quests/vn_mode_conditions.rpy,spanish,2,5,bc660013912a8ac6602e5ba86dc4a94cf9a318ab4a04c21b15240ce25f3579d8
code/data/quests/vn_mode_data.rpy,turkish,5,202,481fc052629c412b129b65ea4eb67263864dca19396b81be5cfc55e5d1343cfc
code/data/quick_interactions/GR_Bar/q-inter-rd.rpy,deutsch,14,14,c8fca9d8199889463e865a5ad84a6a34c7f9c40cf70a25338633cd3809afb40a
code/data/quick_interactions/IT_office/q-inter-ag.rpy,deutsch,51,51,94a46728a73a852565d9b61cbe0e474a33b5246da7e41a97c03cfe0cc3b9c3eb
code/data/quick_interactions/IT_office/q-inter-am.rpy,deutsch,137,137,4925d368c957b2499bad6adc83f873190051e70622adb3c15650fdc2fcbe89f3
code/data/quick_interactions/IT_office/q-inter-cw.rpy,deutsch,49,49,d6211783a0ef346473f0e9e4c43972edcdf8fcd495985d6cf2b5eed09de22e09
code/data/quick_interactions/IT_office/q-inter-en.rpy,deutsch,20,20,3b53173c5dce7aeb128022593445fe4935d8f6e4f64ad760f29e3df67d2d472b
code/data/quick_interactions/IT_office/q-inter-jh.rpy,deutsch,22,22,cc0926a1aa449e22d877f3fc4dc96ab6559e34764ea39c96092688c957bcbc30
code/data/quick_interactions/IT_office/q-inter-lm.rpy,deutsch,17,17,74eb4e243b62c438de1d1e2cb3cf91e016762c4c4f46c22f753fcf89b134c683
code/data/quick_interactions/IT_office/q-inter-mj.rpy,deutsch,16,16,7d5d280d5f6ac469e7f8873495f5699651c73c2c048461ebe744ce13f85724d3
code/data/quick_interactions/IT_office/q-inter-ns.rpy,deutsch,206,206,0353842ef0a9aeeeafa3cfeebc6b59ff15432b1895e82d251a170faf61f885e8
code/data/quick_interactions/IT_office/q-inter-pm.rpy,deutsch,19,19,3d42a8cec7b3100f1389ce7a31c82f8bee8e667c1a3a92b16bb10941d4c6fa62
code/data/quick_interactions/IT_office/q-inter-sr.rpy,deutsch,19,19,739901c1eca61ee07dbd467fd06889b9aa90bf79b7106fac1fc782263957efa6
code/data/quick_interactions/Neutral/q-inter-dc.rpy,deutsch,48,48,1b9787a7813f9d1ce89cf58f9142beb2a1a6466f6a38930d25a77ee4278faecc
code/data/quick_interactions/Neutral/q-inter-mes.rpy,deutsch,67,67,82a118dd21b86d42669e7c1db6a6cf0fb300c2089d87066b08d4ad0fe39257a9
code/data/quick_interactions/Neutral/q-inter-my.rpy,deutsch,71,71,37b4b450758b248804ac942d1d7c390f28685364e1a04105ee204e56384f6bda
code/data/quick_interactions/Neutral/q-inter-sy.rpy,deutsch,119,119,aa13fd89ec65867835ac5302589e31aff7235b2dfcab1e43c137f21add5d5f92
code/data/quick_interactions/Photo_dojo/q-inter-bg.rpy,deutsch,39,39,f397e70eef2a56db80be78997ca9ac7e17070a20270713c3dfc553a6732de970
